assignment_id,user_pseudo_id,experiment_id,experiment_name,variant,assigned_at,first_exposure_at
asgn_07c8f2ef,uid_f0a473e7,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-18 20:44:00
asgn_7703bc9c,uid_e63c4a51,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-18 20:45:00
asgn_db7f58b1,uid_debe824a,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-02 15:43:00
asgn_ada30290,uid_0eb77a18,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-03 17:05:00
asgn_4fe23dd9,uid_9bd528f4,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-27 17:53:00
asgn_b188902d,uid_f9492f72,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-07 07:42:00
asgn_de5c2fca,uid_f7b3c029,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-13 14:21:00
asgn_7c3306e3,uid_c8f06b5d,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-11 21:44:00
asgn_451ed862,uid_938dd7a2,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-12 14:05:00
asgn_41d5b195,uid_5a19ad1c,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-11 00:04:00
asgn_4893be82,uid_25c0fbc5,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-25 09:34:00
asgn_01e651d0,uid_0b6fe669,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-18 23:18:00
asgn_303b74d1,uid_c045eb2f,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-13 21:21:00
asgn_7e99971b,uid_361e194c,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-03 11:20:00
asgn_992f1190,uid_9e49b691,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-18 08:28:00
asgn_d97e2f5a,uid_38da6319,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-21 01:04:00
asgn_04aa5845,uid_141afe1f,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-24 10:34:00
asgn_73af31db,uid_a7f884ac,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-08 14:01:00
asgn_ec932658,uid_ef08f5e2,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-08 19:34:00
asgn_5b8327c4,uid_322c42bd,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-12 18:33:00
asgn_508ff1dc,uid_ac89de79,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-19 17:35:00
asgn_c149f1fd,uid_887186b2,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-24 19:46:00
asgn_e7c0772e,uid_547eeff2,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-17 09:52:00
asgn_e488fecb,uid_940e5874,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-03 21:47:00
asgn_9041a8d5,uid_55e4fd3b,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-13 14:13:00
asgn_6c417836,uid_bfa6fc36,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-20 16:24:00
asgn_6162d370,uid_e06bb5b7,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-16 14:40:00
asgn_07d3ce0a,uid_2a656682,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-06 17:37:00
asgn_4b6da00f,uid_60b13cb0,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-02 08:14:00
asgn_99903c13,uid_17d6a28d,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-13 21:12:00
asgn_00f15938,uid_a50d9c47,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-26 00:12:00
asgn_f29053b3,uid_47f77cca,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-04 04:42:00
asgn_a53ad052,uid_6e29ecc5,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-09 00:36:00
asgn_aa470fa4,uid_0bdf02de,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-20 22:01:00
asgn_8bfdf243,uid_490b00de,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-24 19:54:00
asgn_57d79d1a,uid_d03371ab,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-02 20:17:00
asgn_76c19c74,uid_87ff46d6,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-05 16:24:00
asgn_66c00db8,uid_eac71fbe,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-13 16:49:00
asgn_27cc0016,uid_8c4669e3,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-19 19:35:00
asgn_1fbda694,uid_e24aa4dd,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-25 19:30:00
asgn_5813e17a,uid_c61d3e81,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-10 03:04:00
