user_pseudo_id,churned,xgb_churn_prob,lr_churn_prob,days_since_last_visit,total_sessions,total_orders,total_revenue,avg_order_value,avg_scroll_depth,intent_level_score,dropoff_reason_score,favorite_device,favorite_source,churn_risk_tier
uid_00020d4f,1,0.66914916,0.8051420761382484,39,3,0.0,0.0,0.0,0.504,4,4,mobile,google,Medium Risk
uid_000a05c9,0,0.082324564,0.07891794285026045,9,1,0.0,0.0,0.0,0.32666666666666666,5,3,desktop,email,Low Risk
uid_000b85eb,1,0.99888986,0.99929289486844,123,2,0.0,0.0,0.0,0.5499999999999999,1,2,mobile,instagram,High Risk
uid_00112b36,1,0.40569118,0.42213924340565834,28,2,0.0,0.0,0.0,0.41000000000000003,2,2,mobile,tiktok,Medium Risk
uid_00187762,1,0.99874014,0.7380104027899972,57,1,0.0,0.0,0.0,0.53,4,4,mobile,referral,High Risk
uid_002280de,1,0.4720907,0.5104681416167494,34,2,0.0,0.0,0.0,0.5275000000000001,5,5,desktop,email,Medium Risk
uid_002ae547,1,0.9990933,0.998856993262315,122,1,0.0,0.0,0.0,0.4,2,2,desktop,instagram,High Risk
uid_002ec1c7,1,0.17176382,0.11006203415610842,8,2,0.0,0.0,0.0,0.33999999999999997,2,2,mobile,instagram,Low Risk
uid_003126b0,1,0.9986929,0.9987546886019253,118,1,0.0,0.0,0.0,0.63,5,4,desktop,email,High Risk
uid_0037e72a,0,0.16196667,0.2937851933070906,29,1,0.0,0.0,0.0,0.28,4,4,desktop,direct,Low Risk
uid_003e4be5,1,0.9992083,0.9986865112092248,111,2,0.0,0.0,0.0,0.5066666666666667,2,1,desktop,tiktok,High Risk
uid_004ecb84,0,0.112977155,0.1458566304243653,18,1,0.0,0.0,0.0,0.27,3,1,mobile,direct,Low Risk
uid_0056aa63,1,0.45729706,0.5292794947348559,21,4,0.0,0.0,0.0,0.4975,2,0,mobile,tiktok,Medium Risk
uid_005f2dfe,1,0.28111833,0.2959030463243483,5,4,0.0,0.0,0.0,0.496,2,3,mobile,google,Low Risk
uid_0067f4de,0,0.29521593,0.47234661580209975,43,1,0.0,0.0,0.0,0.4666666666666666,4,5,mobile,google,Low Risk
uid_0075e928,1,0.32127032,0.4286987818577853,37,1,0.0,0.0,0.0,0.49666666666666665,2,2,desktop,instagram,Low Risk
uid_007b2fda,0,0.15582961,0.10239732044699319,6,2,0.0,0.0,0.0,0.4283333333333333,5,3,mobile,email,Low Risk
uid_008335ee,1,0.9990214,0.9999070129932541,141,2,0.0,0.0,0.0,0.49,5,5,mobile,direct,High Risk
uid_0088bd21,1,0.9992489,0.999924070712034,147,2,0.0,0.0,0.0,0.41,2,2,mobile,tiktok,High Risk
uid_008c0c22,1,0.99885833,0.999943307323905,155,2,0.0,0.0,0.0,0.526,4,4,mobile,google,High Risk
uid_0090399b,1,0.9990339,0.799440722104099,48,2,0.0,0.0,0.0,0.47,4,4,mobile,direct,High Risk
uid_00945888,1,0.9991574,0.9952449691036995,99,2,0.0,0.0,0.0,0.3125,2,1,mobile,instagram,High Risk
uid_009c9feb,1,0.99880123,0.9887065364661842,97,1,0.0,0.0,0.0,0.42,1,0,mobile,instagram,High Risk
uid_00a61c3a,1,0.9987519,0.9967553959457048,89,3,0.0,0.0,0.0,0.47250000000000003,4,4,desktop,google,High Risk
uid_00aa80e7,1,0.9992055,0.8911409114599499,56,2,1.0,23.99,23.99,0.662,4,4,desktop,google,High Risk
uid_00bc1cec,1,0.9988764,0.9822067574761287,88,1,0.0,0.0,0.0,0.5,4,4,mobile,google,High Risk
uid_00cab945,1,0.111526765,0.14462368311518706,16,1,0.0,0.0,0.0,0.3133333333333333,5,3,mobile,direct,Low Risk
uid_00cae8a1,1,0.18617511,0.20052237030116318,14,2,0.0,0.0,0.0,0.25,4,4,mobile,google,Low Risk
uid_00cc750d,1,0.99918765,0.9931986213779064,93,2,0.0,0.0,0.0,0.33,2,2,mobile,instagram,High Risk
uid_00cc97f2,1,0.99907386,0.9988991180444872,105,3,0.0,0.0,0.0,0.34199999999999997,2,2,desktop,instagram,High Risk
uid_00cdff80,1,0.99917394,0.8067124476983377,48,2,0.0,0.0,0.0,0.53,4,2,mobile,referral,High Risk
uid_00d6969a,1,0.3990114,0.396515183270293,17,3,0.0,0.0,0.0,0.15,5,5,mobile,email,Low Risk
uid_00e0dc78,1,0.9989361,0.797365413981426,50,2,0.0,0.0,0.0,0.508,5,5,desktop,email,High Risk
uid_00e2ebb1,1,0.9527119,0.7231421884318521,18,5,0.0,0.0,0.0,0.4875,4,4,desktop,referral,High Risk
uid_00e855b3,0,0.17886275,0.1690397431895016,14,2,0.0,0.0,0.0,0.36,2,1,mobile,instagram,Low Risk
uid_00f19167,1,0.9989172,0.9962939408933305,86,4,0.0,0.0,0.0,0.344,1,2,mobile,tiktok,High Risk
uid_00f867ef,0,0.20029531,0.21829692589079217,23,2,0.0,0.0,0.0,0.3125,2,1,mobile,instagram,Low Risk
uid_00fa51c1,0,0.09826217,0.06885594541415233,14,1,0.0,0.0,0.0,0.12,2,2,mobile,instagram,Low Risk
uid_010986c6,1,0.17549671,0.373465263180804,37,1,0.0,0.0,0.0,0.43,1,1,mobile,tiktok,Low Risk
uid_010ae650,1,0.9989629,0.9984229627630863,96,3,0.0,0.0,0.0,0.35166666666666674,4,3,desktop,google,High Risk
uid_01122a4f,1,0.99888414,0.8692702436729961,60,1,0.0,0.0,0.0,0.535,4,4,mobile,google,High Risk
uid_0116c7ab,1,0.28994808,0.3141271192393685,23,2,0.0,0.0,0.0,0.3175,4,3,mobile,google,Low Risk
