session_id,user_pseudo_id,session_start,session_end,device_category,traffic_source,traffic_medium,item_id,product_category,price_tier,item_price,intent_level,dropoff_reason,category_viewed,order_id,order_revenue,page_view,view_item_list,view_item,add_to_cart,begin_checkout,purchase,avg_scroll_depth,reached_home,reached_plp,reached_pdp,reached_atc,reached_checkout,purchased,pdp_view_count,session_duration_sec,variant,is_returned,payment_method
sess_uid_00050ba8_20240201031300,uid_00050ba8,2024-02-01 03:13:19,2024-02-01 03:13:43,mobile,google,cpc,LUM-VP-02,Value Pack,high,64.99,low,impulse_faded,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,24.0,treatment,,
sess_uid_00050ba8_20240227181300,uid_00050ba8,2024-02-27 18:13:09,2024-02-27 18:18:38,mobile,google,cpc,LUM-BW-02,Body Wash,low,22.99,high,decision_friction,Body Wash,,0.0,1,1,2,1,0,0,0.9450000000000001,True,True,True,True,False,False,2,329.0,treatment,,
sess_uid_00050ba8_20240318021300,uid_00050ba8,2024-03-18 02:13:09,2024-03-18 02:13:09,mobile,tiktok,paid_social,LUM-BDL-01,Bundle,mid,42.99,low,impulse_faded,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_0005c66e_20240225031800,uid_0005c66e,2024-02-25 03:18:02,2024-02-25 03:20:38,desktop,email,email,LUM-BW-02,Body Wash,low,22.99,very_high,converted,Body Wash,,0.0,1,1,1,1,0,0,0.96,True,True,True,True,False,False,1,156.0,control,,
sess_uid_0005c66e_20240315021800,uid_0005c66e,2024-03-15 02:18:16,2024-03-15 02:19:36,desktop,email,email,LUM-BW-02,Body Wash,low,22.99,very_high,price_barrier,Body Wash,,0.0,1,1,1,0,0,0,0.1,True,True,True,False,False,False,1,80.0,control,,
sess_uid_000d8ce9_20240215203900,uid_000d8ce9,2024-02-15 20:39:13,2024-02-15 20:40:04,mobile,instagram,paid_social,LUM-SH-03,Shampoo,mid,39.99,low,price_shock,Shampoo,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,51.0,treatment,,
sess_uid_000d8ce9_20240306183900,uid_000d8ce9,2024-03-06 18:39:09,2024-03-06 18:39:09,mobile,instagram,paid_social,LUM-BW-01,Body Wash,low,21.99,low,impulse_faded,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_001329a3_20240210094800,uid_001329a3,2024-02-10 09:48:18,2024-02-10 09:49:02,mobile,direct,none,LUM-VP-02,Value Pack,high,64.99,medium,decision_friction,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,44.0,treatment,,
sess_uid_001329a3_20240306234800,uid_001329a3,2024-03-06 23:48:17,2024-03-06 23:49:15,mobile,tiktok,paid_social,LUM-VP-03,Value Pack,high,54.99,very_low,price_shock,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,58.0,treatment,,
sess_uid_0018a8b4_20240128200300,uid_0018a8b4,2024-01-28 20:03:03,2024-01-28 20:07:08,desktop,google,cpc,LUM-BDL-03,Bundle,mid,44.99,high,decision_friction,Bundle,,0.0,1,1,2,0,0,0,0.7849999999999999,True,True,True,False,False,False,2,245.0,control,,
sess_uid_001a4f2b_20240116213700,uid_001a4f2b,2024-01-16 21:37:02,2024-01-16 21:41:10,mobile,email,email,LUM-BDL-03,Bundle,mid,44.99,very_high,converted,Bundle,ord_662d43,44.99,1,1,1,1,1,1,0.79,True,True,True,True,True,True,1,248.0,control,False,credit_card
sess_uid_0023a27b_20240117054200,uid_0023a27b,2024-01-17 05:42:16,2024-01-17 05:42:47,mobile,referral,referral,LUM-BDL-02,Bundle,mid,39.99,high,comparison_intent,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,31.0,treatment,,
sess_uid_0023a27b_20240207084200,uid_0023a27b,2024-02-07 08:42:09,2024-02-07 08:43:03,desktop,referral,referral,LUM-SH-02,Shampoo,low,23.99,high,price_barrier,Shampoo,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,54.0,treatment,,
sess_uid_0023a27b_20240303154200,uid_0023a27b,2024-03-03 15:42:13,2024-03-03 15:42:13,mobile,referral,referral,LUM-CD-01,Conditioner,low,24.99,high,price_barrier,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_0023a27b_20240401114200,uid_0023a27b,2024-04-01 11:42:16,2024-04-01 11:42:29,mobile,email,email,LUM-SH-01,Shampoo,low,21.99,very_high,converted,Shampoo,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,13.0,treatment,,
sess_uid_002676c8_20240112052100,uid_002676c8,2024-01-12 05:21:14,2024-01-12 05:23:06,mobile,referral,referral,LUM-SH-01,Shampoo,low,21.99,high,converted,Shampoo,,0.0,1,1,1,0,0,0,0.56,True,True,True,False,False,False,1,112.0,treatment,,
sess_uid_002676c8_20240204092100,uid_002676c8,2024-02-04 09:21:09,2024-02-04 09:21:09,mobile,referral,referral,LUM-BDL-02,Bundle,mid,39.99,high,converted,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_002676c8_20240302142100,uid_002676c8,2024-03-02 14:21:19,2024-03-02 14:21:44,mobile,referral,referral,LUM-BDL-02,Bundle,mid,39.99,high,converted,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,25.0,treatment,,
sess_uid_002676c8_20240331162100,uid_002676c8,2024-03-31 16:21:02,2024-03-31 16:21:02,mobile,referral,referral,LUM-BDL-03,Bundle,mid,44.99,high,converted,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_0030fb1a_20240206035400,uid_0030fb1a,2024-02-06 03:54:10,2024-02-06 03:54:10,mobile,instagram,paid_social,LUM-SH-02,Shampoo,low,23.99,low,distraction,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_005b8e0c_20240214025500,uid_005b8e0c,2024-02-14 02:55:09,2024-02-14 02:55:09,desktop,direct,none,LUM-SH-02,Shampoo,low,23.99,very_high,converted,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_005bf183_20240228031800,uid_005bf183,2024-02-28 03:18:01,2024-02-28 03:21:15,mobile,referral,referral,LUM-SH-01,Shampoo,low,21.99,high,comparison_intent,Shampoo,ord_83fa42,65.97,1,1,1,1,1,1,0.51,True,True,True,True,True,True,1,194.0,treatment,False,paypal
sess_uid_005bf183_20240306091800,uid_005bf183,2024-03-06 09:18:03,2024-03-06 09:18:58,mobile,referral,referral,LUM-VP-01,Value Pack,high,59.99,low,decision_friction,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,55.0,treatment,,
sess_uid_005bf183_20240313191800,uid_005bf183,2024-03-13 19:18:02,2024-03-13 19:18:30,mobile,instagram,paid_social,LUM-BW-02,Body Wash,low,22.99,low,converted,Body Wash,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,28.0,treatment,,
