order_id,user_pseudo_id,session_id,order_created_at,item_id,item_name,product_category,price_tier,quantity,item_price,order_revenue,payment_method,is_returned,intent_level,dropoff_reason
ord_cb5a24,uid_bddc0f77,sess_uid_bddc0f77_20230922014800,2023-09-22 01:52:29,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,2,21.99,43.98,credit_card,False,very_high,converted
ord_118073,uid_48dc3539,sess_uid_48dc3539_20230724215900,2023-07-24 22:02:40,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,43.98,credit_card,False,very_high,converted
ord_4a31fe,uid_8b812441,sess_uid_8b812441_20230603203300,2023-06-03 20:37:54,LUM-BDL-01,Shampoo + Conditioner Duo,Bundle,mid,1,42.99,85.98,credit_card,True,very_high,converted
ord_bdddf0,uid_8b812441,sess_uid_8b812441_20230622073300,2023-06-22 07:38:15,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,2,21.99,21.99,credit_card,False,high,converted
ord_a9bd8e,uid_063e2b1f,sess_uid_063e2b1f_20230709114800,2023-07-09 11:53:37,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,2,21.99,21.99,paypal,False,high,converted
ord_186ee2,uid_25e801f9,sess_uid_25e801f9_20230529170100,2023-05-29 17:07:31,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,2,22.99,22.99,paypal,False,high,converted
ord_430bda,uid_ef4978d6,sess_uid_ef4978d6_20230821072900,2023-08-21 07:33:54,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,2,24.99,49.98,apple_pay,False,very_high,converted
ord_1bcdde,uid_28d9900a,sess_uid_28d9900a_20230708164800,2023-07-08 16:53:20,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,24.99,credit_card,False,very_high,converted
ord_9cedb0,uid_90b75e34,sess_uid_90b75e34_20230411161700,2023-04-11 16:23:14,LUM-SH-02,Scalp Restore Shampoo 12oz,Shampoo,low,2,23.99,23.99,credit_card,False,high,converted
ord_49dfed,uid_53d05688,sess_uid_53d05688_20230621011500,2023-06-21 01:18:00,LUM-BDL-01,Shampoo + Conditioner Duo,Bundle,mid,1,42.99,42.99,paypal,True,very_high,converted
