user_pseudo_id,total_sessions,total_orders,total_revenue,avg_order_value,days_since_last_visit,avg_scroll_depth,intent_score,propensity_score,propensity_tier,will_purchase,R_score,F_score,M_score,recency_days,frequency,monetary,segment,avg_scroll,intent_mode,clv_6month,xgb_churn_prob,churn_risk_tier,clv_tier
uid_00020d4f,3,0.0,0.0,0.0,9,0.504,4,0.4894935808061213,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.504,high,0.0,0.66914916,Medium Risk,No Value
uid_000b85eb,2,0.0,0.0,0.0,93,0.5499999999999999,1,0.014751289697843468,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.5499999999999999,very_low,0.0,0.99888986,High Risk,No Value
uid_00112b36,1,0.0,0.0,0.0,31,0.27,2,0.15867647071662808,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.41000000000000003,low,0.0,0.40569118,Medium Risk,No Value
uid_00187762,1,0.0,0.0,0.0,27,0.53,4,0.5692984911078289,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.53,high,0.0,0.99874014,High Risk,No Value
uid_002280de,2,0.0,0.0,0.0,4,0.5275000000000001,5,0.781798528659868,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.5275000000000001,very_high,0.0,0.4720907,Medium Risk,No Value
uid_002ae547,1,0.0,0.0,0.0,92,0.4,2,0.0545942888941497,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4,low,0.0,0.9990933,High Risk,No Value
uid_003126b0,1,0.0,0.0,0.0,88,0.63,5,0.03330344818331344,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.63,very_high,0.0,0.9986929,High Risk,No Value
uid_003e4be5,2,0.0,0.0,0.0,81,0.5066666666666667,2,0.015131632021877733,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.5066666666666667,low,0.0,0.9992083,High Risk,No Value
uid_0056aa63,3,0.0,0.0,0.0,5,0.47,2,0.11732855553754755,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4975,low,0.0,0.45729706,Medium Risk,No Value
uid_005f2dfe,2,0.0,0.0,0.0,18,0.54,4,0.3968577386055919,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.496,low,0.0,0.28111833,Low Risk,No Value
