week_end_date,week_index,market,region,channel,brand,acv_distribution
2023-01-07,0,New York,Northeast,Food,Luminos,0.7253
2023-01-07,0,New York,Northeast,Food,Dove,0.9324
2023-01-07,0,New York,Northeast,Food,Suave,0.915
2023-01-07,0,New York,Northeast,Food,Pantene,0.8838
2023-01-07,0,New York,Northeast,Food,Private Label,0.848
2023-01-07,0,New York,Northeast,Mass,Luminos,0.7154
2023-01-07,0,New York,Northeast,Mass,Dove,0.923
2023-01-07,0,New York,Northeast,Mass,Suave,0.9205
2023-01-07,0,New York,Northeast,Mass,Pantene,0.8925
2023-01-07,0,New York,Northeast,Mass,Private Label,0.8542
2023-01-07,0,New York,Northeast,Drug,Luminos,0.6038
2023-01-07,0,New York,Northeast,Drug,Dove,0.9469
2023-01-07,0,New York,Northeast,Drug,Suave,0.9044
2023-01-07,0,New York,Northeast,Drug,Pantene,0.8811
2023-01-07,0,New York,Northeast,Drug,Private Label,0.854
2023-01-07,0,Los Angeles,West,Food,Luminos,0.7203
2023-01-07,0,Los Angeles,West,Food,Dove,0.9362
2023-01-07,0,Los Angeles,West,Food,Suave,0.9015
2023-01-07,0,Los Angeles,West,Food,Pantene,0.8734
2023-01-07,0,Los Angeles,West,Food,Private Label,0.85
2023-01-07,0,Los Angeles,West,Mass,Luminos,0.7226
2023-01-07,0,Los Angeles,West,Mass,Dove,0.9492
2023-01-07,0,Los Angeles,West,Mass,Suave,0.9063
2023-01-07,0,Los Angeles,West,Mass,Pantene,0.903
2023-01-07,0,Los Angeles,West,Mass,Private Label,0.8523
2023-01-07,0,Los Angeles,West,Drug,Luminos,0.6135
2023-01-07,0,Los Angeles,West,Drug,Dove,0.9246
2023-01-07,0,Los Angeles,West,Drug,Suave,0.9083
2023-01-07,0,Los Angeles,West,Drug,Pantene,0.889
2023-01-07,0,Los Angeles,West,Drug,Private Label,0.849
2023-01-07,0,Chicago,Midwest,Food,Luminos,0.7189
2023-01-07,0,Chicago,Midwest,Food,Dove,0.9533
2023-01-07,0,Chicago,Midwest,Food,Suave,0.89
2023-01-07,0,Chicago,Midwest,Food,Pantene,0.8854
2023-01-07,0,Chicago,Midwest,Food,Private Label,0.8526
2023-01-07,0,Chicago,Midwest,Mass,Luminos,0.7151
2023-01-07,0,Chicago,Midwest,Mass,Dove,0.931
