week_end_date,week_index,market,region,channel,brand,dollar_sales,unit_sales,regular_price,effective_price,on_promo,pct_sales_on_promo,total_dollar_sales,total_unit_sales,dollar_share,unit_share,acv_distribution,velocity
2023-01-07,0,New York,Northeast,Food,Luminos,1730.0,266.56,6.49,6.49,False,0.0,12624.83,2210.27,0.137,0.1206,0.7253,23.8522
2023-01-07,0,New York,Northeast,Food,Dove,4772.18,786.55,7.29,6.0673,True,0.7624,12624.83,2210.27,0.378,0.3559,0.9324,51.1817
2023-01-07,0,New York,Northeast,Food,Suave,2105.61,421.97,4.99,4.99,False,0.0,12624.83,2210.27,0.1668,0.1909,0.915,23.0121
2023-01-07,0,New York,Northeast,Food,Pantene,2576.73,322.49,7.99,7.99,False,0.0,12624.83,2210.27,0.2041,0.1459,0.8838,29.1551
2023-01-07,0,New York,Northeast,Food,Private Label,1440.31,412.7,3.49,3.49,False,0.0,12624.83,2210.27,0.1141,0.1867,0.848,16.9848
2023-01-07,0,New York,Northeast,Mass,Luminos,2324.97,358.24,6.49,6.49,False,0.0,19627.12,3733.66,0.1185,0.0959,0.7154,32.4989
2023-01-07,0,New York,Northeast,Mass,Dove,7297.4,1215.68,7.29,6.0027,True,0.8026,19627.12,3733.66,0.3718,0.3256,0.923,79.0618
2023-01-07,0,New York,Northeast,Mass,Suave,3940.74,936.9,4.99,4.2062,True,0.6283,19627.12,3733.66,0.2008,0.2509,0.9205,42.8109
2023-01-07,0,New York,Northeast,Mass,Pantene,3752.49,469.65,7.99,7.99,False,0.0,19627.12,3733.66,0.1912,0.1258,0.8925,42.0447
2023-01-07,0,New York,Northeast,Mass,Private Label,2311.52,753.19,3.49,3.069,True,0.8042,19627.12,3733.66,0.1178,0.2017,0.8542,27.0606
2023-01-07,0,New York,Northeast,Drug,Luminos,931.88,143.59,6.49,6.49,False,0.0,7027.540000000001,1201.79,0.1326,0.1195,0.6038,15.4336
2023-01-07,0,New York,Northeast,Drug,Dove,1822.45,249.99,7.29,7.29,False,0.0,7027.540000000001,1201.79,0.2593,0.208,0.9469,19.2465
2023-01-07,0,New York,Northeast,Drug,Suave,1202.94,241.07,4.99,4.99,False,0.0,7027.540000000001,1201.79,0.1712,0.2006,0.9044,13.301
2023-01-07,0,New York,Northeast,Drug,Pantene,2179.3,311.85,7.99,6.9883,True,0.6268,7027.540000000001,1201.79,0.3101,0.2595,0.8811,24.7339
2023-01-07,0,New York,Northeast,Drug,Private Label,890.97,255.29,3.49,3.49,False,0.0,7027.540000000001,1201.79,0.1268,0.2124,0.854,10.4329
2023-01-07,0,Los Angeles,West,Food,Luminos,1609.28,247.96,6.49,6.49,False,0.0,10654.289999999999,1803.9,0.151,0.1375,0.7203,22.3418
2023-01-07,0,Los Angeles,West,Food,Dove,2985.02,409.47,7.29,7.29,False,0.0,10654.289999999999,1803.9,0.2802,0.227,0.9362,31.8844
2023-01-07,0,Los Angeles,West,Food,Suave,2149.81,430.82,4.99,4.99,False,0.0,10654.289999999999,1803.9,0.2018,0.2388,0.9015,23.847
2023-01-07,0,Los Angeles,West,Food,Pantene,2508.12,313.91,7.99,7.99,False,0.0,10654.289999999999,1803.9,0.2354,0.174,0.8734,28.7167
2023-01-07,0,Los Angeles,West,Food,Private Label,1402.06,401.74,3.49,3.49,False,0.0,10654.289999999999,1803.9,0.1316,0.2227,0.85,16.4948
2023-01-07,0,Los Angeles,West,Mass,Luminos,2398.82,369.62,6.49,6.49,False,0.0,17189.6,2969.43,0.1396,0.1245,0.7226,33.1971
2023-01-07,0,Los Angeles,West,Mass,Dove,6644.08,1056.87,7.29,6.2865,True,0.6257,17189.6,2969.43,0.3865,0.3559,0.9492,69.9966
2023-01-07,0,Los Angeles,West,Mass,Suave,2708.83,542.85,4.99,4.99,False,0.0,17189.6,2969.43,0.1576,0.1828,0.9063,29.8889
2023-01-07,0,Los Angeles,West,Mass,Pantene,3457.99,432.79,7.99,7.99,False,0.0,17189.6,2969.43,0.2012,0.1457,0.903,38.2945
2023-01-07,0,Los Angeles,West,Mass,Private Label,1979.88,567.3,3.49,3.49,False,0.0,17189.6,2969.43,0.1152,0.191,0.8523,23.2298
2023-01-07,0,Los Angeles,West,Drug,Luminos,909.47,140.13,6.49,6.49,False,0.0,6395.16,1076.75,0.1422,0.1301,0.6135,14.8243
2023-01-07,0,Los Angeles,West,Drug,Dove,1884.21,258.46,7.29,7.29,False,0.0,6395.16,1076.75,0.2946,0.24,0.9246,20.3787
2023-01-07,0,Los Angeles,West,Drug,Suave,1198.55,240.19,4.99,4.99,False,0.0,6395.16,1076.75,0.1874,0.2231,0.9083,13.1955
2023-01-07,0,Los Angeles,West,Drug,Pantene,1552.56,194.31,7.99,7.99,False,0.0,6395.16,1076.75,0.2428,0.1805,0.889,17.4641
2023-01-07,0,Los Angeles,West,Drug,Private Label,850.37,243.66,3.49,3.49,False,0.0,6395.16,1076.75,0.133,0.2263,0.849,10.0161
2023-01-07,0,Chicago,Midwest,Food,Luminos,1606.9,247.6,6.49,6.49,False,0.0,12595.73,2203.21,0.1276,0.1124,0.7189,22.3522
2023-01-07,0,Chicago,Midwest,Food,Dove,4984.27,828.04,7.29,6.0194,True,0.7923,12595.73,2203.21,0.3957,0.3758,0.9533,52.2844
2023-01-07,0,Chicago,Midwest,Food,Suave,1947.04,390.19,4.99,4.99,False,0.0,12595.73,2203.21,0.1546,0.1771,0.89,21.8769
2023-01-07,0,Chicago,Midwest,Food,Pantene,2635.07,329.8,7.99,7.99,False,0.0,12595.73,2203.21,0.2092,0.1497,0.8854,29.7614
2023-01-07,0,Chicago,Midwest,Food,Private Label,1422.45,407.58,3.49,3.49,False,0.0,12595.73,2203.21,0.1129,0.185,0.8526,16.6837
2023-01-07,0,Chicago,Midwest,Mass,Luminos,2390.36,368.31,6.49,6.49,False,0.0,18636.87,3371.63,0.1283,0.1092,0.7151,33.4269
